Nombre,Email,Pais,Ciudad,Fecha_cumpleaños
Martín Salazar,marisol98@ferrandiz.es,Colombia,Bogotá,1964-08-06
Chema Vilaplana Carreras,romeroleon@hotmail.com,Colombia,Medellín,1970-06-25
Soraya Jara-Adán,ccortina@gmail.com,Colombia,Bucaramanga,1962-12-29
Soledad Nadia Mascaró Trujillo,mollbegona@gmail.com,Colombia,Cali,1964-03-03
Candela Ricart,olmedoismael@gmail.com,Colombia,Bogotá,1984-01-31
César Renato Taboada Agullo,victor-manuel39@hervas.es,Colombia,Bogotá,1976-12-28
Paloma del Amat,ctorrecilla@yahoo.com,Colombia,Bucaramanga,1994-07-02
Atilio Diego Aguilera,herminiagarces@rodrigo.es,Colombia,Medellín,2006-03-20
Albano Segovia Mármol,beltranbaltasar@infante.com,Colombia,Barranquilla,1987-04-09
Javiera Quiroga Roselló,porrasignacia@gmail.com,Colombia,Cali,2001-08-11
Reyes Arroyo Belmonte,manjonmiriam@hotmail.com,Colombia,Cali,1965-06-02
Roberto Isidoro Pizarro Prats,icrespi@cerezo.es,Colombia,Bucaramanga,1969-05-03
Nilo Vicente Perea Alba,arnaizadelardo@prado.net,Colombia,Medellín,1987-08-12
Bibiana Cuevas,encarnitairiarte@carbo.com,Colombia,Bucaramanga,1996-12-07
Espiridión Bautista Iglesia,lucilatorrens@palau-castellanos.net,Colombia,Barranquilla,2001-09-09
Vinicio Ferrer Moll,nmoya@hotmail.com,Colombia,Barranquilla,1999-04-14
Lorenzo Pastor Molina,adalbertomillan@gmail.com,Colombia,Medellín,2003-02-21
Eliana Palomares Cañizares,csevillano@yahoo.com,Colombia,Medellín,1997-01-26
Chucho Bilbao Lozano,juan-josebenito@benet.com,Colombia,Bucaramanga,1999-09-07
Wilfredo Arco,xcomas@yahoo.com,Colombia,Medellín,1999-08-27
Bonifacio Jesús Vallejo Vicens,gpascual@haro.com,Colombia,Bogotá,1970-05-14
Lorenzo Coll Tomás,gilabertmaria@yahoo.com,Colombia,Cali,1977-07-09
Cruz Arnau Gabaldón,dsoria@gmail.com,Colombia,Medellín,1981-08-01
Pastor Vázquez Llanos,renatopinedo@yahoo.com,Colombia,Medellín,1976-08-26
Yésica Gisbert Villalonga,olga57@yahoo.com,Colombia,Medellín,1968-12-27
Caridad Grau Benítez,eutimioestevez@gmail.com,Colombia,Bogotá,1967-08-02
Hipólito del Carballo,ntello@hotmail.com,Colombia,Barranquilla,1987-06-29
Domingo Aroca Castell,evavila@collado.com,Colombia,Barranquilla,1994-09-09
María Belén Alfonso Luque,vidalsoto@donaire-gimenez.es,Colombia,Cali,1999-03-07
Mateo Vicente Lamas,agata79@bayona.es,Colombia,Cali,1960-08-28
Juan Carlos Varela,eloisabarcena@gmail.com,Colombia,Bucaramanga,2000-05-07
Valentín Vaquero Carpio,mcastillo@abella.es,Colombia,Barranquilla,2007-01-03
Inés Grande,lordonez@hotmail.com,Colombia,Bogotá,1968-08-22
Jorge Guerrero-Blanes,mjimenez@gmail.com,Colombia,Bucaramanga,1995-02-02
Juan Bautista Aguilar Perez,sebastian51@rojas.org,Colombia,Bogotá,1988-05-09
Flavia Llorens-Puerta,ltolosa@tomas-izaguirre.org,Colombia,Medellín,1986-08-16
Teófilo Carrera Gras,corneliogarmendia@hotmail.com,Colombia,Medellín,1982-07-24
María Luisa de Cuevas,boupalmira@gmail.com,Colombia,Cali,1989-02-27
Amílcar Jódar Girona,arellanolourdes@yahoo.com,Colombia,Bogotá,2004-03-08
Eloísa Barceló,asaavedra@villegas.net,Colombia,Medellín,2000-04-30
Lorena Guardiola,palomaresjorge@abad.org,Colombia,Barranquilla,2005-02-06
Graciela Fonseca Villaverde,boschcarmela@oliveras-olivera.org,Colombia,Barranquilla,1972-10-07
Íngrid Quintero Acuña,santosvelasco@gmail.com,Colombia,Cali,1979-07-22
Azahar Vilanova Jiménez,kpi@yahoo.com,Colombia,Bucaramanga,1982-08-24
Nieves Serna Amorós,jordaborja@yahoo.com,Colombia,Medellín,2007-03-31
Salomón del Revilla,lagojose-ramon@yahoo.com,Colombia,Bogotá,2005-05-17
Angelita Escalona Tamayo,isaias94@gmail.com,Colombia,Bucaramanga,1973-02-12
Quirino de Lara,hermenegildoiborra@palacio.com,Colombia,Bogotá,2004-09-04
María Luisa Agudo Arnal,estela57@hotmail.com,Colombia,Bucaramanga,1971-12-23
Elisa Puga,baltasarzaragoza@tejera-antunez.es,Colombia,Barranquilla,1971-06-05
Azeneth Villegas Seguí,alberoileana@gmail.com,Colombia,Cali,1966-05-22
Fidela Jover Exposito,julio-cesarsoto@hotmail.com,Colombia,Bucaramanga,1972-01-18
Imelda Galvez Rius,ricarda64@yahoo.com,Colombia,Bogotá,1968-06-15
Noelia Granados-Cabo,catalinarosell@yahoo.com,Colombia,Cali,1969-09-16
Rosenda Agustí Egea,ocanizares@hotmail.com,Colombia,Bucaramanga,1992-08-24
Edgardo Lisandro Asenjo Puig,benitogarriga@tamayo-barcena.es,Colombia,Medellín,1984-02-04
Manuelita Jiménez Núñez,wcarrion@flor.es,Colombia,Barranquilla,1994-04-08
Remedios Salvador Bermudez,abigail22@hotmail.com,Colombia,Cali,2002-06-28
Marianela Graciela Bellido Bernad,javier55@manuel.org,Colombia,Bucaramanga,1984-03-30
Loreto Sanjuan-Riba,ricardaalvarado@guitart.org,Colombia,Medellín,1970-11-21
Aroa Bustos Bartolomé,amomaria-manuela@yahoo.com,Colombia,Bucaramanga,1977-05-23
Calixta Anselma Porta Mendoza,malenaluz@cases-castro.com,Colombia,Barranquilla,2004-09-07
Teodora Morell Tamayo,carlota72@hotmail.com,Colombia,Cali,2000-03-13
Melania Royo Zabaleta,alma83@gmail.com,Colombia,Medellín,1984-06-03
Dorita Cortés Mateos,zabalaofelia@nunez.es,Colombia,Medellín,1993-01-03
Emperatriz Agullo Ros,natividadaguilar@hotmail.com,Colombia,Bucaramanga,1987-07-20
Isa del Iborra,opineda@bernad-roca.net,Colombia,Bucaramanga,2003-08-29
Rufina del Rey,esparzaelias@cano-sarabia.es,Colombia,Bogotá,2001-11-28
Cecilia Montes Aliaga,alonsogilberto@lujan.com,Colombia,Medellín,1960-02-02
Artemio de Alcolea,octaviorivera@yahoo.com,Colombia,Bucaramanga,1991-01-31
Fito Bernat Coll,maura61@soriano.org,Colombia,Bogotá,1967-10-31
Guadalupe del Huertas,edgarburgos@galindo.org,Colombia,Bogotá,2002-05-06
Ramón Viñas Carvajal,mmartin@yahoo.com,Colombia,Bucaramanga,1974-05-09
Desiderio Rovira Morata,narcisallorente@carretero.com,Colombia,Barranquilla,2006-07-15
Noemí Cortina Pera,faustovalero@nevado.com,Colombia,Bucaramanga,2003-05-24
Pascual Campo Casas,maximilianoolivera@yahoo.com,Colombia,Bogotá,2006-06-08
Felisa Cañizares Iglesia,jrio@trillo-falco.com,Colombia,Cali,1991-05-29
Toño Cueto-Bayón,qmarques@pedraza.es,Colombia,Medellín,2001-09-14
Renata Haro Montes,hfalco@valencia.es,Colombia,Barranquilla,1981-06-11
Atilio Zabala Batlle,gasparangulo@campo.net,Colombia,Medellín,1998-05-22
Máxima Trillo Zaragoza,pazosismael@hotmail.com,Colombia,Barranquilla,1973-09-26
Áurea Bernal Solé,celestina65@barragan.com,Colombia,Cali,1964-11-01
Juan Antonio Caballero,bernarditapol@ferrando.net,Colombia,Barranquilla,1997-07-06
Piedad Camacho Palma,kcalvet@gmail.com,Colombia,Bucaramanga,1982-07-01
Juanito Salazar Ortuño,ramona56@hotmail.com,Colombia,Bucaramanga,1981-07-17
Dalila Marcela Gargallo Perez,victor76@gmail.com,Colombia,Barranquilla,2000-01-27
Juan Antonio Cepeda Matas,ivan35@llorente.com,Colombia,Bogotá,1990-11-10
Calixta Chacón Landa,joanjaen@yahoo.com,Colombia,Bucaramanga,1986-09-27
África Gelabert-Berenguer,fduran@hotmail.com,Colombia,Bogotá,2003-03-28
Alejo Pío Pizarro Bermudez,pablo66@gonzalez.com,Colombia,Medellín,1980-04-09
Alondra Montaña,ani32@pozo.com,Colombia,Bogotá,1979-04-02
Brunilda Catalán Navarrete,javiles@jauregui-blazquez.es,Colombia,Bucaramanga,2007-01-08
Rico Cepeda Terrón,pprats@ferrandez.net,Colombia,Bogotá,1988-10-18
Noa Borrás Capdevila,wpavon@gmail.com,Colombia,Cali,1999-12-11
Rogelio Mayol Dominguez,ccoello@gmail.com,Colombia,Medellín,2006-03-03
Calixta Boada Capdevila,estelacoloma@alcala-nunez.com,Colombia,Cali,1991-08-06
Fito Gallart Galán,carlota79@cid.com,Colombia,Medellín,1963-08-16
Cornelio Ruperto Linares Baena,batlleroman@hotmail.com,Colombia,Barranquilla,2004-06-13
Teresa Campos Aliaga,yguardia@hotmail.com,Colombia,Cali,1992-07-06
Luisina Anunciación Estrada Flor,arinojose-miguel@hotmail.com,Colombia,Bucaramanga,1992-11-14
Petrona Crespo Alfaro,pedro43@hotmail.com,Colombia,Barranquilla,1963-10-02
Valentín Pombo-Andreu,evaristonoguera@yahoo.com,Colombia,Cali,1985-07-16
Nidia Gordillo,constanzacorominas@yahoo.com,Colombia,Bogotá,1981-12-09
Macarena Catalá Gabaldón,rosaliacervera@zabaleta-cepeda.es,Colombia,Bucaramanga,1997-12-20
Federico Bauzà Carrasco,primitiva20@riba-reina.org,Colombia,Bogotá,2002-11-13
Carlos Expósito-Campillo,amanciolasa@gual.com,Colombia,Bogotá,2006-05-11
Benita Vallés Somoza,reyesponce@yahoo.com,Colombia,Bogotá,1970-09-04
Daniel Antúnez,lermaseve@gmail.com,Colombia,Cali,1973-06-14
Chus Saavedra Trillo,bhuerta@yahoo.com,Colombia,Barranquilla,1985-06-01
Georgina Zapata Arenas,csaura@villena.es,Colombia,Medellín,1985-11-22
Ramona Avilés,valerio64@serra-delgado.es,Colombia,Barranquilla,1963-03-30
Yaiza Cisneros,ubotella@hotmail.com,Colombia,Bogotá,1999-05-16
Bernarda del Reyes,lamaya@yahoo.com,Colombia,Bucaramanga,1965-09-01
Felix Céspedes-Casals,sanchofabiana@blazquez-zabaleta.es,Colombia,Bucaramanga,1996-12-24
Amada Donaire Naranjo,rupertacoca@aznar.org,Colombia,Cali,1989-11-24
Matías Cipriano Carpio Catalá,isernalbano@valenciano-valenzuela.com,Colombia,Bucaramanga,1974-04-16
Mónica Tamarit-Santiago,mbernad@hotmail.com,Colombia,Cali,1996-10-11
Martín Galiano-Avilés,bartolomeoller@codina.org,Colombia,Bogotá,1962-11-13
Horacio Escalona Cuéllar,xavierpalomino@gmail.com,Colombia,Bucaramanga,1979-11-25
Flor Pinilla Bauzà,marcoadriana@gmail.com,Colombia,Bucaramanga,1978-03-16
Lucila Riba Zamorano,emmabarragan@angel.es,Colombia,Medellín,2000-12-17
Dora Zaragoza Otero,uvizcaino@valenciano.net,Colombia,Bucaramanga,1959-08-22
Albano Sola Carranza,criba@olmo-garay.com,Colombia,Bogotá,1978-09-11
Ruperto Bauzà-Mena,maria-fernanda01@hotmail.com,Colombia,Cali,1986-06-25
María Manuela Andres-Echevarría,perla57@aranda-cerdan.es,Colombia,Bogotá,1990-11-16
Visitación del Sevillano,vazquezmarcelino@hotmail.com,Colombia,Barranquilla,1995-12-31
Cristóbal Mármol Otero,lisandroanguita@perez-daza.es,Colombia,Medellín,1967-06-26
Patricio Timoteo Miranda Angulo,fbolanos@gmail.com,Colombia,Cali,1980-02-15
Juan Francisco Mate,perellomilagros@franch.es,Colombia,Barranquilla,1992-05-17
Calista Falcón,tzabaleta@yahoo.com,Colombia,Medellín,1966-03-21
Nicolasa Cazorla,segoviaroldan@yuste.org,Colombia,Bucaramanga,1999-12-22
Flavio Solera Arteaga,alonso94@gallego.net,Colombia,Medellín,1995-10-02
Reina Sainz Carpio,faustollanos@gmail.com,Colombia,Bucaramanga,1997-08-12
Aroa Gabaldón,kike24@hotmail.com,Colombia,Bucaramanga,1964-05-18
Mariano Victor Manuel Nevado Salcedo,ambrosiosotelo@ayuso.com,Colombia,Barranquilla,1986-03-15
Pastor Salmerón Pagès,olimpia38@gmail.com,Colombia,Bucaramanga,1968-07-01
Santos Solís Cabanillas,isaura77@gmail.com,Colombia,Bucaramanga,2001-07-07
Yago Parra-Pou,modesta57@andres-bas.es,Colombia,Bogotá,1992-02-07
Soraya Donaire Lumbreras,apoloniacalderon@yahoo.com,Colombia,Bucaramanga,1997-05-18
Ruy Matas Serra,ngomez@gmail.com,Colombia,Bucaramanga,1985-08-25
Francisco Galindo Rosa,candelas32@hotmail.com,Colombia,Bogotá,1998-08-09
Aurora Sierra Morell,techeverria@banos-camps.es,Colombia,Barranquilla,2003-06-04
Artemio Gelabert Chamorro,gertrudiscompany@manuel-porta.es,Colombia,Bucaramanga,2005-11-28
Emperatriz Mayo Royo,aguiloemma@hotmail.com,Colombia,Bogotá,1979-07-20
Gil Baena Abascal,lujanrosenda@gmail.com,Colombia,Bucaramanga,2007-04-26
Georgina Monreal-Piñeiro,irozas@gmail.com,Colombia,Medellín,1968-12-29
Leopoldo Planas,scorrea@hotmail.com,Colombia,Bogotá,1960-04-27
Moisés Alcázar Cobo,fcerdan@gmail.com,Colombia,Cali,2006-11-08
Íngrid Imelda Escolano Santos,wplanas@gmail.com,Colombia,Bogotá,2000-09-02
Luis Valentín Guzmán,cpedraza@gmail.com,Colombia,Cali,1984-08-12
Luis Ángel Tirado Bernal,adela81@borrego.com,Colombia,Barranquilla,1963-02-14
Luna Alba Somoza,amunoz@yahoo.com,Colombia,Barranquilla,1970-12-06
Ovidio Mateu Juliá,kdominguez@manzanares.com,Colombia,Barranquilla,1965-02-22
José Antonio Benítez Lobo,encarnacionlucas@yahoo.com,Colombia,Cali,1967-02-14
Carmelita Yéssica Corbacho Salom,juan-carlosguzman@yahoo.com,Colombia,Cali,1995-06-03
Francisco Javier Blasco Codina,xrey@garate-sacristan.com,Colombia,Bucaramanga,1983-01-05
Miguel Ángel Lamas Carmona,abrilpujadas@mata-tamayo.net,Colombia,Bucaramanga,1986-01-28
Dorotea Codina Royo,aurea76@moles.es,Colombia,Bogotá,2003-11-27
Florencio León-Lasa,fatima96@herranz-ferrero.es,Colombia,Barranquilla,1996-10-17
Nicodemo Aguirre Bayo,hcabanas@salmeron.net,Colombia,Bucaramanga,1972-09-02
Albano Briones Barberá,carreterochema@castillo.com,Colombia,Medellín,1979-07-30
Nadia Benitez Santana,qmorales@gmail.com,Colombia,Bucaramanga,1963-10-11
Gala Méndez Barrena,gaspar71@yahoo.com,Colombia,Medellín,1986-04-01
Mohamed Téllez Camps,ngil@camino.com,Colombia,Bucaramanga,1964-04-28
Pascuala Iglesia-Salmerón,pcomas@abascal.org,Colombia,Bogotá,1981-12-22
Maricela Acevedo Villalba,zrubio@hotmail.com,Colombia,Cali,1974-11-25
Gregorio Toledo Carrión,isabel46@gmail.com,Colombia,Medellín,1995-11-30
Anita Segura Manjón,casandraariza@feijoo-martinez.es,Colombia,Barranquilla,2006-05-29
Lara Blazquez Río,andres-felipeferrando@gomez.es,Colombia,Bogotá,1996-04-25
Josep Juanito Sancho Alegre,basilio50@carrasco-galan.es,Colombia,Barranquilla,1998-12-15
Óscar de Arco,ealiaga@arroyo.com,Colombia,Bucaramanga,1962-12-06
Segismundo Régulo Cabanillas Sastre,caminodanilo@gimenez-barroso.net,Colombia,Cali,2005-09-11
Eufemia Carrillo Cervantes,maria-cristinaarroyo@hotmail.com,Colombia,Barranquilla,1963-11-01
Emigdio Cid Ribes,carolina27@armas.com,Colombia,Bogotá,1970-04-07
Valerio Torrens Berrocal,escobarangeles@luz.es,Colombia,Bucaramanga,1969-04-08
Juan Carlos Sanjuan-Requena,emilianaarellano@escolano.org,Colombia,Medellín,1959-11-04
Custodia de Carpio,rosalia88@simo.net,Colombia,Bucaramanga,1972-09-17
Rómulo Company Sánchez,felicianoaroca@gmail.com,Colombia,Medellín,1973-10-17
Dionisia Múñiz Santana,badiaangela@echeverria.es,Colombia,Bucaramanga,1975-07-18
Martina Moreno Rius,jeremias15@cabanas.es,Colombia,Medellín,1974-07-19
Jonatan Tormo Ballester,inocenciosanz@gmail.com,Colombia,Barranquilla,1968-10-24
Pacífica Ferrera Palmer,nicocastejon@gmail.com,Colombia,Bogotá,1968-10-26
Teodosio Solana Segarra,martirionunez@gmail.com,Colombia,Cali,1970-03-14
Yolanda Carlota Gras Bolaños,lgascon@yahoo.com,Colombia,Medellín,1960-07-08
Paulina Huerta Huguet,lgiron@gmail.com,Colombia,Barranquilla,1962-07-17
Joel Varela Aragonés,ztello@hotmail.com,Colombia,Barranquilla,1993-03-27
Ariel de Ramos,pliniomarques@botella.es,Colombia,Bucaramanga,2007-05-23
Tecla Amador Sanz,sandraramirez@gmail.com,Colombia,Bucaramanga,1991-02-16
Tito Bejarano Plaza,martinteodosio@yahoo.com,Colombia,Barranquilla,2006-02-14
Martín Narváez Ballesteros,canterorodolfo@yahoo.com,Colombia,Bucaramanga,1962-04-24
Flavia Díez Bautista,nicanorgomez@carballo.net,Colombia,Bogotá,1977-09-22
Nieves Rocha,barrosoramon@yahoo.com,Colombia,Bucaramanga,1993-08-27
Saturnina Casado,vito95@hotmail.com,Colombia,Bogotá,1990-09-09
Apolinar Portillo Escamilla,canalesfidel@yahoo.com,Colombia,Bogotá,1969-08-07
Bárbara Fuente Viñas,sigfrido82@oliver-rivera.es,Colombia,Bucaramanga,1972-05-25
Aitor Guerra Vizcaíno,pnovoa@hotmail.com,Colombia,Medellín,1999-11-28
Soledad Salgado,claudia24@gmail.com,Colombia,Bogotá,1992-06-25
Elvira Arévalo Colomer,xavier29@gmail.com,Colombia,Barranquilla,1971-06-19
Cecilio Gárate Caro,consuelo27@pelayo-espinosa.net,Colombia,Bogotá,1981-02-05
Brunilda Peralta Sanabria,domingo06@codina-sedano.es,Colombia,Barranquilla,1996-09-11
Eusebia Marqués,marisela92@hotmail.com,Colombia,Cali,2006-06-05
Pío Tejero Arjona,menaamador@gimenez-salmeron.es,Colombia,Cali,1963-04-11
Miguela Charo Zurita Girona,alonsoblanes@hotmail.com,Colombia,Barranquilla,2005-03-25
José María Prado Ferreras,elisa98@gmail.com,Colombia,Cali,1969-08-07
Flora Polo Peralta,onofre54@bonilla-garriga.es,Colombia,Barranquilla,1989-08-23
Ceferino Samuel Rodrigo Ribas,cobohipolito@taboada-zapata.es,Colombia,Cali,1985-02-06
Abraham Recio Llano,cayetanasevilla@hotmail.com,Colombia,Bucaramanga,1972-03-10
Ema Trujillo Arnal,ana87@gmail.com,Colombia,Bogotá,1959-09-12
Eleuterio Marín Sureda,silvestre27@hierro.org,Colombia,Bogotá,2000-04-14
Marisa Terrón Rubio,xcarreras@hotmail.com,Colombia,Barranquilla,1970-08-12
Amparo Coll-Montenegro,pepecardenas@gmail.com,Colombia,Barranquilla,1988-01-30
Amanda Manjón Manzanares,maria-doloresespanol@diego.es,Colombia,Cali,1980-01-08
Octavio Pareja-Báez,albertcerro@hotmail.com,Colombia,Bogotá,1992-07-12
Evita Cánovas Calatayud,anitaginer@zaragoza.com,Colombia,Cali,1964-09-23
Sebastián Castro Alemany,mateo52@yahoo.com,Colombia,Bucaramanga,1980-04-06
Ramón Carrasco Girón,javieragonzalez@casares-gallego.com,Colombia,Cali,2006-07-17
Antonio Alfonso Tomé,ferrandizcandido@gmail.com,Colombia,Barranquilla,1967-08-16
Alfredo Batalla-Mata,casalszoraida@fuertes.es,Colombia,Medellín,1969-06-08
Luis Miguel Oliveras-Ortuño,anselmabayo@alcala.net,Colombia,Cali,1971-03-22
Adela de Gargallo,jose92@yahoo.com,Colombia,Medellín,1983-09-05
Imelda Gargallo Vilar,wcarbajo@casals-solano.com,Colombia,Bogotá,1984-02-11
León Poncio Armas Blanca,ycarlos@yahoo.com,Colombia,Bucaramanga,1980-10-05
Coral Ramón Manso,rociobanos@yahoo.com,Colombia,Cali,1960-05-26
Nerea Calzada Prieto,carreraseric@yahoo.com,Colombia,Cali,1999-09-20
Raimundo Domingo Barón,nilofonseca@hotmail.com,Colombia,Medellín,1975-05-19
Paola Valera Lopez,epalacio@hotmail.com,Colombia,Medellín,1994-05-02
Candelario Sanz-Campoy,amelia73@canizares.com,Colombia,Medellín,2005-09-04
Chuy Piñeiro Morillo,ester91@vizcaino.es,Colombia,Bucaramanga,2004-08-02
Leandra Vargas Jurado,angulotito@gmail.com,Colombia,Medellín,1980-12-08
Isaura Segura Araujo,ceciliamateo@cordoba.com,Colombia,Barranquilla,1986-01-03
Ramona Canals Trujillo,gcrespi@gmail.com,Colombia,Barranquilla,1993-03-12
Florinda Osorio-Luís,anayadominga@gmail.com,Colombia,Cali,1983-04-10
Alba Nogueira-Pintor,wochoa@ortega-barbero.net,Colombia,Bogotá,2003-08-20
Manu Aristides Bastida Mayol,fortunato08@arcos-serna.es,Colombia,Bucaramanga,1960-12-02
Marita Alonso Moliner,kmora@gmail.com,Colombia,Barranquilla,2006-07-18
Florentino Valdés,encarnacionmari@yahoo.com,Colombia,Barranquilla,1993-05-07
Sosimo Gargallo Madrigal,martinezconsuela@yahoo.com,Colombia,Medellín,1965-10-15
Arcelia Navarro-Llano,nroldan@benitez-matas.org,Colombia,Medellín,1996-04-10
Chus Ribas Quesada,bescribano@hotmail.com,Colombia,Medellín,1993-07-02
Natalio Solsona,hbarreda@gmail.com,Colombia,Bogotá,1969-08-02
Carlos del Rozas,rosalina13@yahoo.com,Colombia,Medellín,2003-06-30
Eduardo Guzman Ramis,conesagregorio@higueras.es,Colombia,Medellín,1989-03-18
Miriam Arco Franch,elias04@echeverria-arnal.es,Colombia,Barranquilla,1965-03-30
María Cristina Martí Bartolomé,hilda16@hotmail.com,Colombia,Barranquilla,1967-02-24
Paulina Vall-Carrillo,pbosch@hotmail.com,Colombia,Cali,1980-11-09
Serafina Porta Guzman,ernestocampillo@gmail.com,Colombia,Barranquilla,1989-06-09
Dominga Barba Trujillo,molinercaridad@yahoo.com,Colombia,Bucaramanga,1976-04-17
Valerio Coca-Parejo,paca40@hotmail.com,Colombia,Bogotá,2004-08-05
Onofre Heras Isern,feliciana51@hotmail.com,Colombia,Bucaramanga,1985-12-19
Wálter Pozo Jaume,gutierrezmanuel@gmail.com,Colombia,Bucaramanga,2002-06-30
Vanesa Ramos Aragón,turadriana@hotmail.com,Colombia,Bucaramanga,1988-04-09
Seve Cueto Julián,sosimo98@morillo.com,Colombia,Medellín,1989-09-14
Abel Pérez Folch,coral11@gmail.com,Colombia,Bogotá,2003-09-16
Teo Reguera Montenegro,qcanellas@gmail.com,Colombia,Medellín,1978-09-16
Aristides Ribas,rubenpi@hotmail.com,Colombia,Medellín,1961-02-03
Miriam de Borrell,juan-franciscodomingo@gmail.com,Colombia,Bogotá,1988-09-19
Dorita Brígida Borrell Pedro,alcalalina@rozas.com,Colombia,Cali,1973-05-10
Tomás Larrea,ipina@yahoo.com,Colombia,Cali,1974-03-14
Prudencio Nilo Fajardo Ripoll,bcoello@juarez-gutierrez.es,Colombia,Cali,1999-03-14
Anselma Alarcón Somoza,jimena63@pla.com,Colombia,Barranquilla,1963-07-13
Flavio Guitart Sotelo,adadiajose-luis@hotmail.com,Colombia,Cali,1986-05-23
Benigna Armengol Escobar,anitaurena@yahoo.com,Colombia,Barranquilla,1965-08-19
Olimpia Roselló Cifuentes,millanarsenio@gmail.com,Colombia,Barranquilla,1984-01-26
Elisabet Lago Laguna,ucozar@hotmail.com,Colombia,Barranquilla,1969-10-28
Tamara del Baena,baltasargras@araujo.org,Colombia,Bogotá,1991-04-27
Azahar Uría Armas,leire87@yahoo.com,Colombia,Medellín,1969-08-09
Félix Bueno Frías,perlitadieguez@hotmail.com,Colombia,Bogotá,2004-08-28
Cloe Acosta-Zorrilla,pbenitez@busquets-mulet.com,Colombia,Bogotá,2005-11-06
Haroldo Pereira Camino,ambrosiobertran@yahoo.com,Colombia,Bucaramanga,2002-04-16
Manuel Adán-Mur,umorcillo@castello.org,Colombia,Medellín,1963-04-24
Leocadio Pizarro Bru,gaspar36@gmail.com,Colombia,Barranquilla,1970-08-14
Reyna Quevedo López,martinamor@menendez-castro.es,Colombia,Medellín,1994-06-02
Jose Ignacio Salinas,kledesma@hotmail.com,Colombia,Bogotá,1988-04-14
María Luisa Estrada Rovira,arjonaarmida@yahoo.com,Colombia,Medellín,1974-10-16
Jose Miguel Águila Zamorano,adelina61@mas-comas.com,Colombia,Cali,1995-02-16
Emiliana Asenjo Benito,vicensteodoro@busquets-sobrino.org,Colombia,Bogotá,1999-05-19
Rodrigo Vara Alegre,yescobar@pozo.com,Colombia,Cali,1979-10-15
Maristela Sanz Sandoval,zaida23@gmail.com,Colombia,Medellín,2000-08-20
Tristán Camino-Roura,pratdemetrio@duarte.es,Colombia,Bogotá,1987-02-05
Paola Lara Mateo Palomo,chucho22@gmail.com,Colombia,Barranquilla,1960-08-11
Timoteo Amor,pcodina@ruano.net,Colombia,Bogotá,1991-01-25
Jordi Roca Almeida,vanesacorominas@salgado.com,Colombia,Cali,1976-01-16
Eugenio Pou,adan16@valcarcel-manso.com,Colombia,Cali,1992-08-11
Marta Torrents,alvarezalejo@moles-bartolome.org,Colombia,Medellín,1967-06-28
María Ángeles Oliver Sanabria,cuellarlucio@hotmail.com,Colombia,Bucaramanga,1982-12-06
Cristina Vera Gimenez,scastro@hotmail.com,Colombia,Medellín,2005-05-03
Rosalinda Sureda Cáceres,jessica17@duran.com,Colombia,Bucaramanga,1987-11-03
Encarnacion Guitart Gallart,palmersocorro@palau-cuadrado.com,Colombia,Barranquilla,1963-11-12
Irene Carbonell González,amandajorda@padilla-artigas.org,Colombia,Barranquilla,1994-08-09
Nayara Aránzazu Ayuso Río,camachomerche@hotmail.com,Colombia,Bogotá,1962-05-22
Aránzazu Diego,visitacionpardo@manzano.es,Colombia,Medellín,1966-04-15
Moisés Parra Nadal,franchvalentin@agudo-higueras.es,Colombia,Bucaramanga,1993-11-24
Aristides Larrañaga Perales,eva32@hotmail.com,Colombia,Bogotá,1975-01-22
Salvador Romeu Reyes,yvillalonga@hotmail.com,Colombia,Bucaramanga,1989-08-25
Rogelio Agustín Villar,neiramaxi@cordoba-roura.com,Colombia,Medellín,1962-01-20
Vito Barco Vizcaíno,rquesada@hotmail.com,Colombia,Medellín,1980-11-16
Adelia Losa Álamo,psalmeron@salamanca.es,Colombia,Medellín,1972-12-15
Aristides Alejandro Nadal Porta,ignacio18@miguel.com,Colombia,Medellín,1996-04-10
Dora Hernández-Mateu,barredaprudencia@yahoo.com,Colombia,Bogotá,1994-01-24
Beatriz Asenjo Casanovas,constanza07@yahoo.com,Colombia,Barranquilla,1999-02-09
Oriana Guillen-Ordóñez,griselda92@hotmail.com,Colombia,Barranquilla,1976-05-19
Fernando Villalonga Fernández,jcabanas@hotmail.com,Colombia,Cali,1965-02-08
Américo Rodríguez Castillo,victor-manuelbermejo@yahoo.com,Colombia,Cali,1997-07-27
Reyes Prat,croda@hotmail.com,Colombia,Bogotá,1987-11-26
Calixto Vega Castejón,tcastello@hotmail.com,Colombia,Barranquilla,1974-01-01
Juana Antúnez Crespo,realdamian@gmail.com,Colombia,Bucaramanga,1979-03-28
Juan Carlos Coronado Carranza,reinaldo44@yahoo.com,Colombia,Barranquilla,1969-04-03
Ruben Robles Atienza,ildefonso27@gmail.com,Colombia,Barranquilla,1983-04-04
Trinidad Arribas Rios,clarisa75@yahoo.com,Colombia,Bogotá,2000-09-30
Rico Chacón Vargas,jsanchez@hotmail.com,Colombia,Bogotá,2002-01-17
Guadalupe Gala Guerrero Prats,salazarmagdalena@yahoo.com,Colombia,Medellín,1961-03-21
Mayte Mendizábal-Casals,esperanzabaena@velez.com,Colombia,Bucaramanga,1995-09-22
Agapito Llopis Fuster,zblazquez@montes.es,Colombia,Medellín,1989-04-09
